Event,Lap,Driver,GapToLeader_Secs
Australian Grand Prix,15.0,NOR,0.0
Australian Grand Prix,15.0,HAM,21.084
Australian Grand Prix,15.0,BOR,34.906
Australian Grand Prix,15.0,RUS,10.84
Australian Grand Prix,15.0,PIA,1.71
Australian Grand Prix,15.0,BEA,44.033
Australian Grand Prix,16.0,VER,1.767
Australian Grand Prix,16.0,GAS,26.004
Australian Grand Prix,16.0,ANT,37.356
Australian Grand Prix,16.0,ALO,27.249
Australian Grand Prix,16.0,LEC,15.859
Australian Grand Prix,16.0,STR,29.985
Australian Grand Prix,16.0,TSU,19.605
Australian Grand Prix,16.0,ALB,22.539
Australian Grand Prix,16.0,HUL,36.059
Australian Grand Prix,16.0,LAW,43.923
Australian Grand Prix,16.0,OCO,42.671
Australian Grand Prix,16.0,NOR,0.0
Australian Grand Prix,16.0,HAM,23.881
Australian Grand Prix,16.0,BOR,39.065
Australian Grand Prix,16.0,RUS,12.627
Australian Grand Prix,16.0,PIA,2.48
Australian Grand Prix,16.0,BEA,47.476
Australian Grand Prix,17.0,VER,4.895
Australian Grand Prix,17.0,GAS,28.535
Australian Grand Prix,17.0,ANT,39.404
Australian Grand Prix,17.0,ALO,29.951
Australian Grand Prix,17.0,LEC,18.097
Australian Grand Prix,17.0,STR,33.109
Australian Grand Prix,17.0,TSU,21.986
Australian Grand Prix,17.0,ALB,25.363
Australian Grand Prix,17.0,HUL,40.612
Australian Grand Prix,17.0,LAW,48.234
Australian Grand Prix,17.0,OCO,47.144
Australian Grand Prix,17.0,NOR,0.0
Australian Grand Prix,17.0,HAM,26.447
Australian Grand Prix,17.0,BOR,43.557
Australian Grand Prix,17.0,RUS,13.96
Australian Grand Prix,17.0,PIA,2.912
Australian Grand Prix,17.0,BEA,51.739
Australian Grand Prix,18.0,VER,6.918
Australian Grand Prix,18.0,GAS,31.513
Australian Grand Prix,18.0,ANT,41.439
Australian Grand Prix,18.0,ALO,32.503
Australian Grand Prix,18.0,LEC,20.565
Australian Grand Prix,18.0,STR,36.594
Australian Grand Prix,18.0,TSU,25.284
Australian Grand Prix,18.0,ALB,28.198
Australian Grand Prix,18.0,HUL,44.262
Australian Grand Prix,18.0,LAW,53.09
Australian Grand Prix,18.0,OCO,52.307
Australian Grand Prix,18.0,NOR,0.0
Australian Grand Prix,18.0,HAM,29.178
Australian Grand Prix,18.0,BOR,47.303
Australian Grand Prix,18.0,RUS,15.554
Australian Grand Prix,18.0,PIA,2.909
Australian Grand Prix,18.0,BEA,56.12
Australian Grand Prix,19.0,VER,8.306
Australian Grand Prix,19.0,GAS,33.424
Australian Grand Prix,19.0,ANT,42.83
Australian Grand Prix,19.0,ALO,34.232
Australian Grand Prix,19.0,LEC,21.875
Australian Grand Prix,19.0,STR,38.727
Australian Grand Prix,19.0,TSU,28.229
Australian Grand Prix,19.0,ALB,30.698
Australian Grand Prix,19.0,HUL,47.231
Australian Grand Prix,19.0,LAW,57.234
Australian Grand Prix,19.0,OCO,58.022
Australian Grand Prix,19.0,NOR,0.0
Australian Grand Prix,19.0,HAM,31.541
Australian Grand Prix,19.0,BOR,50.658
Australian Grand Prix,19.0,RUS,17.192
Australian Grand Prix,19.0,PIA,3.174
Australian Grand Prix,19.0,BEA,59.634
Australian Grand Prix,20.0,VER,9.194
Australian Grand Prix,20.0,GAS,35.041
Australian Grand Prix,20.0,ANT,43.439
Australian Grand Prix,20.0,ALO,36.132
Australian Grand Prix,20.0,LEC,22.921
Australian Grand Prix,20.0,STR,40.597
Australian Grand Prix,20.0,TSU,30.068
Australian Grand Prix,20.0,ALB,32.344
Australian Grand Prix,20.0,HUL,50.388
Australian Grand Prix,20.0,LAW,60.021
Australian Grand Prix,20.0,OCO,61.704
Australian Grand Prix,20.0,NOR,0.0
Australian Grand Prix,20.0,HAM,33.172
Australian Grand Prix,20.0,BOR,53.276
Australian Grand Prix,20.0,RUS,17.797
Australian Grand Prix,20.0,PIA,2.623
Australian Grand Prix,20.0,BEA,63.018
Australian Grand Prix,21.0,VER,10.137
Australian Grand Prix,21.0,GAS,37.13
Australian Grand Prix,21.0,ANT,44.247
Australian Grand Prix,21.0,ALO,38.443
Australian Grand Prix,21.0,LEC,23.846
Australian Grand Prix,21.0,STR,42.792
Australian Grand Prix,21.0,TSU,31.846
Australian Grand Prix,21.0,ALB,34.146
Australian Grand Prix,21.0,HUL,53.374
Australian Grand Prix,21.0,LAW,62.67
Australian Grand Prix,21.0,OCO,64.861
Australian Grand Prix,21.0,NOR,0.0
Australian Grand Prix,21.0,HAM,35.017
Australian Grand Prix,21.0,BOR,56.392
Australian Grand Prix,21.0,RUS,18.69
Australian Grand Prix,21.0,PIA,2.116
Australian Grand Prix,21.0,BEA,66.602
Australian Grand Prix,22.0,VER,10.877
Australian Grand Prix,22.0,GAS,39.185
Australian Grand Prix,22.0,ANT,45.834
Australian Grand Prix,22.0,ALO,41.425
Australian Grand Prix,22.0,LEC,24.241
Australian Grand Prix,22.0,STR,46.761
Australian Grand Prix,22.0,TSU,33.113
Australian Grand Prix,22.0,ALB,35.899
Australian Grand Prix,22.0,HUL,56.259
Australian Grand Prix,22.0,LAW,64.45
Australian Grand Prix,22.0,OCO,68.094
Australian Grand Prix,22.0,NOR,0.0
Australian Grand Prix,22.0,HAM,36.758
Australian Grand Prix,22.0,BOR,58.826
Australian Grand Prix,22.0,RUS,19.419
Australian Grand Prix,22.0,PIA,2.03
Australian Grand Prix,22.0,BEA,69.892
Australian Grand Prix,23.0,VER,11.641
Australian Grand Prix,23.0,GAS,41.701
Australian Grand Prix,23.0,ANT,47.236
Australian Grand Prix,23.0,ALO,44.013
