EventName,Lap,Driver,GapToLeader_Secs
Bahrain Grand Prix,14.0,MAG,49.991
Bahrain Grand Prix,14.0,DEV,65.653
Bahrain Grand Prix,14.0,TSU,55.925
Bahrain Grand Prix,14.0,ALB,53.634
Bahrain Grand Prix,14.0,ZHO,67.367
Bahrain Grand Prix,14.0,HUL,66.768
Bahrain Grand Prix,14.0,OCO,54.435
Bahrain Grand Prix,14.0,NOR,64.49
Bahrain Grand Prix,14.0,HAM,42.505
Bahrain Grand Prix,14.0,SAI,41.022
Bahrain Grand Prix,14.0,RUS,50.454
Bahrain Grand Prix,14.0,BOT,46.708
Bahrain Grand Prix,15.0,VER,11.308
Bahrain Grand Prix,15.0,GAS,50.466
Bahrain Grand Prix,15.0,PER,0.0
Bahrain Grand Prix,15.0,ALO,40.137
Bahrain Grand Prix,15.0,LEC,21.182
Bahrain Grand Prix,15.0,STR,23.02
Bahrain Grand Prix,15.0,SAR,51.183
Bahrain Grand Prix,15.0,MAG,47.82
Bahrain Grand Prix,15.0,DEV,57.451
Bahrain Grand Prix,15.0,TSU,47.83
Bahrain Grand Prix,15.0,ALB,45.722
Bahrain Grand Prix,15.0,ZHO,59.526
Bahrain Grand Prix,15.0,HUL,58.67
Bahrain Grand Prix,15.0,OCO,49.228
Bahrain Grand Prix,15.0,NOR,56.29
Bahrain Grand Prix,15.0,HAM,33.962
Bahrain Grand Prix,15.0,SAI,31.937
Bahrain Grand Prix,15.0,RUS,40.844
Bahrain Grand Prix,15.0,BOT,38.489
Bahrain Grand Prix,16.0,VER,10.339
Bahrain Grand Prix,16.0,GAS,50.641
Bahrain Grand Prix,16.0,PER,0.0
Bahrain Grand Prix,16.0,ALO,38.909
Bahrain Grand Prix,16.0,LEC,20.365
Bahrain Grand Prix,16.0,STR,44.126
Bahrain Grand Prix,16.0,SAR,51.401
Bahrain Grand Prix,16.0,MAG,69.637
Bahrain Grand Prix,16.0,DEV,57.808
Bahrain Grand Prix,16.0,TSU,48.121
Bahrain Grand Prix,16.0,ALB,46.205
Bahrain Grand Prix,16.0,ZHO,59.754
Bahrain Grand Prix,16.0,HUL,59.036
Bahrain Grand Prix,16.0,OCO,86.166
Bahrain Grand Prix,16.0,NOR,56.38
Bahrain Grand Prix,16.0,HAM,33.809
Bahrain Grand Prix,16.0,SAI,31.6
Bahrain Grand Prix,16.0,RUS,39.907
Bahrain Grand Prix,16.0,BOT,38.213
Bahrain Grand Prix,17.0,VER,6.627
Bahrain Grand Prix,17.0,GAS,48.292
Bahrain Grand Prix,17.0,PER,0.0
Bahrain Grand Prix,17.0,ALO,35.688
Bahrain Grand Prix,17.0,LEC,17.036
Bahrain Grand Prix,17.0,STR,40.273
Bahrain Grand Prix,17.0,SAR,49.48
Bahrain Grand Prix,17.0,MAG,66.596
Bahrain Grand Prix,17.0,DEV,55.444
